Model,rmse,mae,mape,mbe,r2,direction_accuracy,Company
Sentiment Only (LR),87.21259881854579,44.7841486940197,2.523781632968748,1.334201953299128,0.925002014207453,0.6703910614525139,ia
Hybrid RF+NSI,135.33037288323513,116.78469773358961,6.931952837691532,101.77053124948873,0.8194149887620373,0.3687150837988827,ia
Benchmark,42725.13896993198,30926.136363636364,2.793906340888954,-3403.409090909091,0.9557202462820241,0.52,hanwha_aerospace
ARIMA,708732.103648385,683460.3161163367,61.96455364463691,-683460.3161163367,-11.184352077469006,0.52,hanwha_aerospace
Existing RF,42360.02524920952,31335.917994085296,2.841398445400285,1834.7364661164577,0.9564738104227347,0.5428571428571428,hanwha_aerospace
Extended RF,43405.34386042185,31076.91026101351,2.7993877369113473,-7557.582091842447,0.9542991128361337,0.5257142857142857,hanwha_aerospace
Extended ANN,48518.38398281739,35178.84427715431,3.1818002817666495,6772.4434780803595,0.9428980573934578,0.49142857142857144,hanwha_aerospace
Sentiment Only (LR),42630.589560575965,31259.46412571254,2.828001193700424,73.84249633503681,0.9559160088810954,0.48,hanwha_aerospace
Hybrid RF+NSI,43213.156406742244,30943.075894719852,2.788055990536941,-7463.411433056113,0.9547029199089123,0.5371428571428571,hanwha_aerospace
Benchmark,30891.592752613065,17854.748603351956,3.179097791644672,-1709.4972067039107,0.9397808960229471,0.5112359550561798,lig_nex1
ARIMA,293803.9546129712,265468.53141252085,47.6435599214918,-265468.53141252085,-4.4471453212588825,0.5112359550561798,lig_nex1
Existing RF,31985.404621379137,19665.806479328043,3.5426655263890257,3214.2948853142047,0.9354409121745502,0.46629213483146065,lig_nex1
Extended RF,31297.239425269956,18806.629690436566,3.3749615310068504,406.03942187628957,0.938189002532184,0.43258426966292135,lig_nex1
Extended ANN,40822.74205880284,24871.729205107556,4.238946396475886,14907.815262925025,0.8948381946393155,0.4887640449438202,lig_nex1
